,label,affairVoteId,meaningYesText,meaningNoText,numYes,numNo,numAbst,section,art_id,orientation,progvscons
580,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-1,-1
593,"603, vote 4 : Commission (y.c. V/A 1-3) contre A-603.15 SVPO ",20211207144242,"Art. 603 Enfance<br/>
<ol><li>L’État et les communes permettent à tous
les enfants d’accéder à des activités de
développement, en particulier pour la petite enfance.</li>
<li>Ils mettent en place des mesures
d’accompagnement à la parentalité.</li></ol>",(néant),90,14,1,1ère lecture - Commission 6,603,-1,-1
596,"602, vote 2 : Commission (y.c. V/A 1) contre A-602.11 SVPO ",20211207143809,"L'État et les communes développent une
politique familiale globale.",(néant),89,14,2,1ère lecture - Commission 6,602,-1,-1
632,"503, vote 2 : Résultat V/A 1 contre A-503.14 UDCVR/SVPO ",20211207092238,L’État prend des mesures propres à lutter contre les changements climatiques et vise la neutralité carbone.,(néant),92,12,1,1ère lecture - Commission 5,503,-1,-1
648,"418/915, vote 13 : Art. 418 commission 4 (y.c. V/A 1-2) contre Art. 915 commission 9 (y.c. V/A 3-12)",20211125161611,"1 L’État est doté d’une ou plusieurs autorités assurant en toute indépendance et autonomie la surveillance de l’utilisation de tout argent public, notamment sous l’angle du respect des principes de légalité, de régularité, d’efficacité, d’économie et d’efficience.<br/>
2 Ces autorités sont notamment en charge :<br/>
a) du contrôle de performance.<br/>
b) du contrôle de conformité.<br/>
3 Les organes dirigeants sont désignés par le Grand Conseil.","1 <u>Plusieurs</u> autorités assurent en toute indépendance et autonomie la surveillance de l’utilisation de tout argent public, notamment sous l’angle du respect des principes de légalité, de régularité, d’efficacité, d’économie et d’efficience.<br/>
2 Ces autorités sont notamment :<br/>
a) <u>la Cour des comptes,</u> en charge du contrôle de performance ;<br/>
b) <u>l’Inspection des finances</u> chargée du contrôle de conformité.<br/>
3 <u>Les contrôles opérés par la Cour des comptes relèvent du libre choix de celle-ci et font l’objet de rapports publics.</u><br/>
4 Les <u>membres de la Cour des comptes</u> sont élus par le Grand Conseil.",64,48,1,1ère lecture - Commission 4,418,0,1
657,"418, al.3n, vote 2 : Commission contre A-418.75 PDCVR ",20211125160409,(néant),Les organes dirigeants sont désignés par le Grand Conseil.,15,93,5,1ère lecture - Commission 4,418,0,1
658,"418, al.1, vote 1 : Commission contre A-418.74 CVPO ",20211125160314,Une ou plusieurs autorités assurent le contrôle de l'utilisation de tout argent public,Une seule autorité...,83,29,1,1ère lecture - Commission 4,418,0,-1
665,"416a, vote 9 : Commission contre A-416a.67 AC",20211125145141,(néant),La loi fixe un quotient familial afin d’atténuer l’imposition des couples mariés et des partenaires enregistrés vivant en ménage commun.,47,53,18,1ère lecture - Commission 4,416,1,1
687,"411a, vote 1 : Commission vs A-411a.45 AC",20211125101932,(néant),"L'Etat met librement à disposition les jeux de données en sa possession, dans un format ouvert facilitant la réutilisation et adapté au progrès de la technologie. La loi peut prévoir des exceptions en raison d’un intérêt légitime prépondérant.",56,51,6,1ère lecture - Commission 4,411,-1,1
740,"905, vote 5 : Commission (y.c. V/A 1-4) contre A-901.06 CVPO + A-905.24 UDCVR/CVPO ",20211123122108,Il est institué un tribunal du droit de la famille,(biffer),69,36,10,1ère lecture - Commission 9,905,-1,-1
745,"904, vote 1 : Commission contre M-901 + M-904 Murmann etc. ",20211123113625,"Il est institué pour l’ensemble du canton une Cour environnementale chargée de trancher sur le plan civil, pénal ou administratif les questions de droit environnemental et de droit de la protection de la nature et du monde vivant.",(biffer),47,66,3,1ère lecture - Commission 9,904,-1,-1
746,"903, vote 3 : Commission (y.c. V/A 1+3) contre A-900.01 SVPO + A-903.20 CVPO/UDCVR",20211123105817,Il est institué une Cour Constitutionnelle rattachée au Tribunal cantonal...,(biffer),97,17,2,1ère lecture - Commission 9,903,0,-1
756,"003, vote 5 : Commissions (y.c. V/A 1-4) contre A-003.14 F. Zurbriggen ",20211123095212,La conférence régionale est dirigée par un coordinateur ou une coordinatrice régionale qu dispose de certaines compétences,(biffer),90,23,1,1ère lecture - Commission 10,3,0,-1
759,"003, al.1, vote 2 : Commission contre Resultat V/A 1",20211123094952,La coordinatrice ou le coordinateur est élu par les vice-président-es et par les président-es des communes concernées,La coordinatrice ou le coordinateur est élu par les président-es des communes concernées,77,26,8,1ère lecture - Commission 10,3,0,0
761,"002, vote 2 : Commissions (y.c. V/A 1-2) contre A-002.03 F. Zurbriggen ",20211123091617,"1 Chaque région dispose d’une conférence régionale composée des présidentes et présidents des communes de la région ainsi que de la coordinatrice ou du coordinateur régional.<br/>
2 La conférence régionale facilite les collaborations intercommunales, examine l’opportunité des projets importants de portée intercommunale, les coordonne et participe le cas échéant à leur réalisation. Elle favorise un développement territorial harmonieux et optimise les relations entre les communes et l’État.<br/>
3 La loi peut prévoir d’autres tâches.",(biffer),96,14,2,1ère lecture - Commission 10,2,0,-1
779,"802, vote 9 : Commission (1-1-1) contre résultat V/A 8",20211104105554,(1 siège par partie du canton),(pas de garantie de siège),77,35,7,1ère lecture - Commission 8,802,-1,-1
